 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.5366346919300258 0.06696498781924388 0.40348073876798646 0.30441015531952687 0.07886985858020297 0.1562421413112234 0.09448565552725703 0.09869201337772904 0.17769601864396464
L23I 0.5366346919300258 1.0 0.08153589653909772 0.28071025427054 0.17101717282516243 0.021788607835275035 0.059337228043467555 0.06120338089501295 0.02215262021582484 0.04746738220558278
L4E 0.06696498781924388 0.08153589653909772 1.0 0.7011866884027934 -0.05365959235260145 0.05795005129168196 0.12123545564900194 -0.0705387247781638 0.015498710908366459 -0.05505048986576829
L4I 0.40348073876798646 0.28071025427054 0.7011866884027934 1.0 0.1678699151962796 0.13425797912829038 0.1262658045038157 -0.0053473672483817765 0.09464721212797296 0.17736424716216817
L5E 0.30441015531952687 0.17101717282516243 -0.05365959235260145 0.1678699151962796 1.0 0.5579321574703836 0.11252957101771897 0.09551136814517833 0.05798580054721912 0.15524731118989085
L5I 0.07886985858020297 0.021788607835275035 0.05795005129168196 0.13425797912829038 0.5579321574703836 1.0 0.06598734084116517 0.05211093328028163 0.015044927639426879 0.05082803801404889
L6E 0.1562421413112234 0.059337228043467555 0.12123545564900194 0.1262658045038157 0.11252957101771897 0.06598734084116517 1.0 0.6688961522052007 0.04964544825236411 -0.011098597571132343
L6I 0.09448565552725703 0.06120338089501295 -0.0705387247781638 -0.0053473672483817765 0.09551136814517833 0.05211093328028163 0.6688961522052007 1.0 0.006275982633015507 0.009871682045234158
THC 0.09869201337772904 0.02215262021582484 0.015498710908366459 0.09464721212797296 0.05798580054721912 0.015044927639426879 0.04964544825236411 0.006275982633015507 1.0 0.38405031858635263
THI 0.17769601864396464 0.04746738220558278 -0.05505048986576829 0.17736424716216817 0.15524731118989085 0.05082803801404889 -0.011098597571132343 0.009871682045234158 0.38405031858635263 1.0
