 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.7265540917743959 0.9136151643411008 0.95091696831023 0.8736732909162656 0.7884099974311147 0.7249309435461273 0.4446603036457433 0.30558425503489756 0.30219856271293305
L23I 0.7265540917743959 1.0 0.5199455247717397 0.6055964369265505 0.9200700780494164 0.910149648873234 0.8012110541282628 0.73129479852054 0.3373087352904372 0.3369462323702083
L4E 0.9136151643411008 0.5199455247717397 1.0 0.9588110796253477 0.7352446290835195 0.6384005888866331 0.6473805726628593 0.360805132535121 0.4035890319274327 0.39869008986854715
L4I 0.95091696831023 0.6055964369265505 0.9588110796253477 1.0 0.793899023622952 0.6959019021755842 0.6837349187920393 0.4369272458737317 0.4476886277852578 0.4430838111724423
L5E 0.8736732909162656 0.9200700780494164 0.7352446290835195 0.793899023622952 1.0 0.9343725479034273 0.8662823441863623 0.6736028132561922 0.37925730430883803 0.37682899437822515
L5I 0.7884099974311147 0.910149648873234 0.6384005888866331 0.6959019021755842 0.9343725479034273 1.0 0.8525406871829779 0.6824087064377962 0.35480993852002324 0.3513712748368351
L6E 0.7249309435461273 0.8012110541282628 0.6473805726628593 0.6837349187920393 0.8662823441863623 0.8525406871829779 1.0 0.6997846287719284 0.4963868314711489 0.49310246663081675
L6I 0.4446603036457433 0.73129479852054 0.360805132535121 0.4369272458737317 0.6736028132561922 0.6824087064377962 0.6997846287719284 1.0 0.7109541199374338 0.7076036118069571
THC 0.30558425503489756 0.3373087352904372 0.4035890319274327 0.4476886277852578 0.37925730430883803 0.35480993852002324 0.4963868314711489 0.7109541199374338 1.0 0.964293104415395
THI 0.30219856271293305 0.3369462323702083 0.39869008986854715 0.4430838111724423 0.37682899437822515 0.3513712748368351 0.49310246663081675 0.7076036118069571 0.964293104415395 1.0
