 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.9865699719890386 0.8254772031297981 0.821968199250469 0.2995631907315287 0.21562075243039788 0.11924918694634892 0.0227749531501438 0.08798564801882795 0.08563751826317732
L23I 0.9865699719890386 1.0 0.7689099110496361 0.7649315072185133 0.2966035016633117 0.20942917598347457 0.1153693054056791 0.0237166227689092 0.0795250672186592 0.0774380330723075
L4E 0.8254772031297981 0.7689099110496361 1.0 0.9941756384215439 0.26032354918591505 0.215038183764343 0.1047092152655814 -0.0030494107296963305 0.11015678177317254 0.1070484459040855
L4I 0.821968199250469 0.7649315072185133 0.9941756384215439 1.0 0.2582597679982961 0.21369495137544806 0.1046712783208651 -0.0028792066342972857 0.1103080093664885 0.1070758607275455
L5E 0.2995631907315287 0.2966035016633117 0.26032354918591505 0.2582597679982961 1.0 0.9884440891590196 0.14026758965147637 0.10129394395542743 0.06769808718336057 0.06771927429396676
L5I 0.21562075243039788 0.20942917598347457 0.215038183764343 0.21369495137544806 0.9884440891590196 1.0 0.13360335360881978 0.10035011343300439 0.06020592520882234 0.06015385757321898
L6E 0.11924918694634892 0.1153693054056791 0.1047092152655814 0.1046712783208651 0.14026758965147637 0.13360335360881978 1.0 0.983409729374059 -0.013271030509635292 -0.014210883760476559
L6I 0.0227749531501438 0.0237166227689092 -0.0030494107296963305 -0.0028792066342972857 0.10129394395542743 0.10035011343300439 0.983409729374059 1.0 -0.021759021446467474 -0.021863509302532884
THC 0.08798564801882795 0.0795250672186592 0.11015678177317254 0.1103080093664885 0.06769808718336057 0.06020592520882234 -0.013271030509635292 -0.021759021446467474 1.0 0.9907846002499024
THI 0.08563751826317732 0.0774380330723075 0.1070484459040855 0.1070758607275455 0.06771927429396676 0.06015385757321898 -0.014210883760476559 -0.021863509302532884 0.9907846002499024 1.0
