 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.0025235053074129754 0.002232115681914542 -0.012067794752071969 0.009364160912819781 0.0018088341493341508 -0.03607701076736027 -0.025789578025892962 -0.013039296042145257 -0.009034393695787447
L23I 0.0025235053074129754 1.0 0.0038315481288336882 0.005904325578600054 0.012575167434653634 -0.040650744702599544 0.022377905766060358 0.02152321914501704 0.0050086480486769445 0.035823516696855115
L4E 0.002232115681914542 0.0038315481288336882 1.0 0.40569916673265044 0.01883650096821268 0.009573932616967408 0.014103935856785885 -0.05210431452581743 -0.007857411476321375 0.0007469918961994645
L4I -0.012067794752071969 0.005904325578600054 0.40569916673265044 1.0 0.10084451363184384 0.09478553752502197 0.03152889563796075 -0.031230908942647007 0.02539582577246093 0.06769426166473626
L5E 0.009364160912819781 0.012575167434653634 0.01883650096821268 0.10084451363184384 1.0 0.48391758245366273 0.03917391382702168 0.02012113831169013 0.03617663250216661 0.0736607599583109
L5I 0.0018088341493341508 -0.040650744702599544 0.009573932616967408 0.09478553752502197 0.48391758245366273 1.0 0.020643905317551316 0.016298494466371934 0.01322856860508486 0.051377108676980816
L6E -0.03607701076736027 0.022377905766060358 0.014103935856785885 0.03152889563796075 0.03917391382702168 0.020643905317551316 1.0 0.07388763931788178 0.04691848675518909 0.1565499755427684
L6I -0.025789578025892962 0.02152321914501704 -0.05210431452581743 -0.031230908942647007 0.02012113831169013 0.016298494466371934 0.07388763931788178 1.0 -0.036120935144485916 -0.07573136840456082
THC -0.013039296042145257 0.0050086480486769445 -0.007857411476321375 0.02539582577246093 0.03617663250216661 0.01322856860508486 0.04691848675518909 -0.036120935144485916 1.0 0.31747606033893944
THI -0.009034393695787447 0.035823516696855115 0.0007469918961994645 0.06769426166473626 0.0736607599583109 0.051377108676980816 0.1565499755427684 -0.07573136840456082 0.31747606033893944 1.0
