 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.7546738406495002 0.3551492476354207 0.4189754835867143 0.2206218677111928 0.09255490465269484 0.2111691140176748 0.09565757434508072 0.1458536111315042 0.12573989892004855
L23I 0.7546738406495002 1.0 0.44766299828453354 0.4748741801781925 0.12809943285766473 0.06071188459110944 0.1374025865675076 0.04086702458438449 0.025911260487491376 0.027227652257309398
L4E 0.3551492476354207 0.44766299828453354 1.0 0.8698004954923356 0.07852378626488496 0.1552205231662985 0.1349922100777547 0.04119757578449174 0.15461234888262015 0.12893524493247768
L4I 0.4189754835867143 0.4748741801781925 0.8698004954923356 1.0 0.09922571259439575 0.1372295514097899 0.09240591529956131 -0.004506233644907346 0.1413225777538276 0.11517232285905736
L5E 0.2206218677111928 0.12809943285766473 0.07852378626488496 0.09922571259439575 1.0 0.8817990810796861 0.10950198924211636 0.0704185878408072 0.06553178860453628 0.06437216683902888
L5I 0.09255490465269484 0.06071188459110944 0.1552205231662985 0.1372295514097899 0.8817990810796861 1.0 0.093496766928005 0.0649136887308098 0.04187580692676457 0.036159207909113894
L6E 0.2111691140176748 0.1374025865675076 0.1349922100777547 0.09240591529956131 0.10950198924211636 0.093496766928005 1.0 0.7996274586723678 0.15077851742175166 0.09998171385162938
L6I 0.09565757434508072 0.04086702458438449 0.04119757578449174 -0.004506233644907346 0.0704185878408072 0.0649136887308098 0.7996274586723678 1.0 0.04979136770649368 0.030709241156943932
THC 0.1458536111315042 0.025911260487491376 0.15461234888262015 0.1413225777538276 0.06553178860453628 0.04187580692676457 0.15077851742175166 0.04979136770649368 1.0 0.8798664108043616
THI 0.12573989892004855 0.027227652257309398 0.12893524493247768 0.11517232285905736 0.06437216683902888 0.036159207909113894 0.09998171385162938 0.030709241156943932 0.8798664108043616 1.0
