 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.5598765895260893 0.08460571745651978 0.447676301803403 0.44404091581218863 0.11141296653422009 0.2044660547970394 0.15335508212291765 0.14202145343243794 0.11743734171683093
L23I 0.5598765895260893 1.0 0.047796759781292296 0.3066068110603399 0.30321816826239284 0.11715777801968974 0.06910951284322743 0.11196679482009303 0.007044316198888004 0.06674949711554755
L4E 0.08460571745651978 0.047796759781292296 1.0 0.7361115952711722 -0.04075005460902006 -0.005270368659681647 0.12952881262333557 -0.06360000131393377 0.21858741700323728 -0.06752302772909839
L4I 0.447676301803403 0.3066068110603399 0.7361115952711722 1.0 0.206925002231636 0.07093383704643053 0.15303439096033092 0.014436097667623458 0.2395905840218558 0.09157923075795392
L5E 0.44404091581218863 0.30321816826239284 -0.04075005460902006 0.206925002231636 1.0 0.058849971960087566 0.1271151627759818 0.14218011251009494 0.03347395226631925 0.13905051325814738
L5I 0.11141296653422009 0.11715777801968974 -0.005270368659681647 0.07093383704643053 0.058849971960087566 1.0 -0.005151257336001173 0.008376436265550598 0.021630325342748905 0.03569228843368612
L6E 0.2044660547970394 0.06910951284322743 0.12952881262333557 0.15303439096033092 0.1271151627759818 -0.005151257336001173 1.0 0.7234226870756877 0.08067368153178235 0.023016518591037267
L6I 0.15335508212291765 0.11196679482009303 -0.06360000131393377 0.014436097667623458 0.14218011251009494 0.008376436265550598 0.7234226870756877 1.0 0.0019275069134729059 0.11602227220920774
THC 0.14202145343243794 0.007044316198888004 0.21858741700323728 0.2395905840218558 0.03347395226631925 0.021630325342748905 0.08067368153178235 0.0019275069134729059 1.0 -0.03530432886669534
THI 0.11743734171683093 0.06674949711554755 -0.06752302772909839 0.09157923075795392 0.13905051325814738 0.03569228843368612 0.023016518591037267 0.11602227220920774 -0.03530432886669534 1.0
