 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.7227913421487163 0.8630029077473637 0.9469913593541365 0.8651457495223251 0.782774296175565 0.7551939806912593 0.5278117971105883 0.3520359650927355 0.3558843163350077
L23I 0.7227913421487163 1.0 0.510248203596477 0.5946581075598356 0.9419153991424062 0.9462982315708743 0.8328868723359767 0.8146656172780687 0.39650609368220147 0.39781912976902506
L4E 0.8630029077473637 0.510248203596477 1.0 0.948574395417155 0.6847382491995081 0.5938272379290509 0.7521280849045402 0.49767725488644865 0.44526013865018127 0.4461939912884741
L4I 0.9469913593541365 0.5946581075598356 0.948574395417155 1.0 0.7688261767177182 0.6705641505339358 0.7456618733783007 0.5237906619584178 0.48695639460812296 0.48830149191385913
L5E 0.8651457495223251 0.9419153991424062 0.6847382491995081 0.7688261767177182 1.0 0.958577972802947 0.8844295133208528 0.7708464047865344 0.4349089054588951 0.43797519605265617
L5I 0.782774296175565 0.9462982315708743 0.5938272379290509 0.6705641505339358 0.958577972802947 1.0 0.8699576158294564 0.7805710805933022 0.4073605931357371 0.40850552799809237
L6E 0.7551939806912593 0.8328868723359767 0.7521280849045402 0.7456618733783007 0.8844295133208528 0.8699576158294564 1.0 0.8174626462426204 0.5459216594708813 0.545844496190818
L6I 0.5278117971105883 0.8146656172780687 0.49767725488644865 0.5237906619584178 0.7708464047865344 0.7805710805933022 0.8174626462426204 1.0 0.7221408879055441 0.7189466719800596
THC 0.3520359650927355 0.39650609368220147 0.44526013865018127 0.48695639460812296 0.4349089054588951 0.4073605931357371 0.5459216594708813 0.7221408879055441 1.0 0.9735297772838988
THI 0.3558843163350077 0.39781912976902506 0.4461939912884741 0.48830149191385913 0.43797519605265617 0.40850552799809237 0.545844496190818 0.7189466719800596 0.9735297772838988 1.0
