 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.9901402615469242 0.84096875073924 0.835250105454441 0.38746797197332117 0.2932370458894448 0.17729618211454304 0.05919166127586744 0.13783912205410712 0.13496419482582178
L23I 0.9901402615469242 1.0 0.7911761814753215 0.7849580693023761 0.38875447151246073 0.29093038836042673 0.17753439110515612 0.06521666438769985 0.13017792370712217 0.12760465715245944
L4E 0.84096875073924 0.7911761814753215 1.0 0.9960803006231093 0.30230388783992385 0.24781073299384393 0.13913109759519454 0.00949562865588031 0.16032512059733195 0.1568636497360355
L4I 0.835250105454441 0.7849580693023761 0.9960803006231093 1.0 0.29958947202862624 0.24606501021512883 0.1363981668869887 0.00712288913389615 0.16172451204400842 0.15842432040200902
L5E 0.38746797197332117 0.38875447151246073 0.30230388783992385 0.29958947202862624 1.0 0.9867616120076748 0.15289612895013607 0.10000448432176295 0.08586525030030213 0.08610527851817507
L5I 0.2932370458894448 0.29093038836042673 0.24781073299384393 0.24606501021512883 0.9867616120076748 1.0 0.13449917850123258 0.08963495963295932 0.07834140233934844 0.07869213327534216
L6E 0.17729618211454304 0.17753439110515612 0.13913109759519454 0.1363981668869887 0.15289612895013607 0.13449917850123258 1.0 0.9811614449418462 -0.011704447521145927 -0.01278459331793097
L6I 0.05919166127586744 0.06521666438769985 0.00949562865588031 0.00712288913389615 0.10000448432176295 0.08963495963295932 0.9811614449418462 1.0 -0.03204104524737478 -0.03300781107199204
THC 0.13783912205410712 0.13017792370712217 0.16032512059733195 0.16172451204400842 0.08586525030030213 0.07834140233934844 -0.011704447521145927 -0.03204104524737478 1.0 0.991469391855997
THI 0.13496419482582178 0.12760465715245944 0.1568636497360355 0.15842432040200902 0.08610527851817507 0.07869213327534216 -0.01278459331793097 -0.03300781107199204 0.991469391855997 1.0
