 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.24409488963487871 0.13177715639585974 0.27165400414852864 0.11929796295976378 0.06665788312700727 0.04906866754426152 0.025913285842121006 0.059610704436919904 0.016947317520997665
L23I 0.24409488963487871 1.0 0.2032203094662249 0.30478037308359246 0.1536887010684627 0.07667274907575239 0.025468102902962537 0.008962257857453844 -0.0054154940247934345 0.019579104804596716
L4E 0.13177715639585974 0.2032203094662249 1.0 0.5136162018744281 -0.010507038230449996 0.030759376476310316 0.01514605564916187 -0.026127151645355826 0.08913234529944825 -0.021242755272762252
L4I 0.27165400414852864 0.30478037308359246 0.5136162018744281 1.0 0.05901630923432119 0.05748556449846909 0.010715476565448441 -0.0057884281517952526 0.10007645744440408 0.02259061595978277
L5E 0.11929796295976378 0.1536887010684627 -0.010507038230449996 0.05901630923432119 1.0 0.588484342062482 0.003105603058412359 -0.014239860118623326 0.001493355725665015 0.06275029294559502
L5I 0.06665788312700727 0.07667274907575239 0.030759376476310316 0.05748556449846909 0.588484342062482 1.0 -0.026122740420790526 -0.017463153004833358 0.027096660479390067 0.03235137398030187
L6E 0.04906866754426152 0.025468102902962537 0.01514605564916187 0.010715476565448441 0.003105603058412359 -0.026122740420790526 1.0 0.27506266792971157 0.01502130159768406 0.08235492741616683
L6I 0.025913285842121006 0.008962257857453844 -0.026127151645355826 -0.0057884281517952526 -0.014239860118623326 -0.017463153004833358 0.27506266792971157 1.0 -0.0722701677478228 0.05041846504838421
THC 0.059610704436919904 -0.0054154940247934345 0.08913234529944825 0.10007645744440408 0.001493355725665015 0.027096660479390067 0.01502130159768406 -0.0722701677478228 1.0 -0.0410835517439656
THI 0.016947317520997665 0.019579104804596716 -0.021242755272762252 0.02259061595978277 0.06275029294559502 0.03235137398030187 0.08235492741616683 0.05041846504838421 -0.0410835517439656 1.0
