 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.7899519657901286 0.3845416725528289 0.4093191297661838 0.3490968406063183 0.22483486342873776 0.28544845819586606 0.1254783819446731 0.2036862603607927 0.12883379717071933
L23I 0.7899519657901286 1.0 0.49571093590702847 0.5316196245981014 0.2327128430100025 0.15973500912431596 0.19925680027584894 0.07113118848304903 0.14422187172186454 0.09357903472874635
L4E 0.3845416725528289 0.49571093590702847 1.0 0.8898043241797352 0.08329307290153616 0.17693328055338475 0.18215964309575247 0.05450120480062762 0.26681444448555997 0.18550059466295513
L4I 0.4093191297661838 0.5316196245981014 0.8898043241797352 1.0 0.10689455735469545 0.1681337442161617 0.1361081060369664 0.02276548064928115 0.22619415662095949 0.15825507984488724
L5E 0.3490968406063183 0.2327128430100025 0.08329307290153616 0.10689455735469545 1.0 0.8697906663548667 0.15817614002070593 0.07850189229406342 0.042893531542960314 0.03784921455090248
L5I 0.22483486342873776 0.15973500912431596 0.17693328055338475 0.1681337442161617 0.8697906663548667 1.0 0.15066754931832235 0.0882195581726534 0.09768478543281213 0.07278987717337372
L6E 0.28544845819586606 0.19925680027584894 0.18215964309575247 0.1361081060369664 0.15817614002070593 0.15066754931832235 1.0 0.7988600982482832 0.1499644974792436 0.10011348606472176
L6I 0.1254783819446731 0.07113118848304903 0.05450120480062762 0.02276548064928115 0.07850189229406342 0.0882195581726534 0.7988600982482832 1.0 0.07031286153931332 0.02952564502417709
THC 0.2036862603607927 0.14422187172186454 0.26681444448555997 0.22619415662095949 0.042893531542960314 0.09768478543281213 0.1499644974792436 0.07031286153931332 1.0 0.8264320975048899
THI 0.12883379717071933 0.09357903472874635 0.18550059466295513 0.15825507984488724 0.03784921455090248 0.07278987717337372 0.10011348606472176 0.02952564502417709 0.8264320975048899 1.0
