 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.5524381413249619 0.09835444436693766 0.40626344668152725 0.30554117670464115 0.0843352016819558 0.14159792747656103 0.10471065811021106 0.16011807134601128 0.10559786033066712
L23I 0.5524381413249619 1.0 0.10774181028372752 0.3005654377798783 0.19762527710538785 0.026385750654435117 0.06025445825954588 0.08694996277001923 0.02823141993123995 0.02406805993767665
L4E 0.09835444436693766 0.10774181028372752 1.0 0.7048462602294243 -0.041720150347163205 0.05157873135427994 0.08460634830034115 -0.08190307598473992 0.01748959708310044 -0.1244555413207773
L4I 0.40626344668152725 0.3005654377798783 0.7048462602294243 1.0 0.14726801566627656 0.10967936414004427 0.08264602439949308 -0.024383741376332813 0.1770410796983827 0.09691432960730745
L5E 0.30554117670464115 0.19762527710538785 -0.041720150347163205 0.14726801566627656 1.0 0.5491052232922569 0.06609522171282471 0.06741379563963477 0.09003819803454402 0.10552414546197764
L5I 0.0843352016819558 0.026385750654435117 0.05157873135427994 0.10967936414004427 0.5491052232922569 1.0 0.015856366194485733 0.014644750745724409 0.03277292350320777 0.02292811292864453
L6E 0.14159792747656103 0.06025445825954588 0.08460634830034115 0.08264602439949308 0.06609522171282471 0.015856366194485733 1.0 0.6406834756278953 0.038809075210490304 -0.01881860308582211
L6I 0.10471065811021106 0.08694996277001923 -0.08190307598473992 -0.024383741376332813 0.06741379563963477 0.014644750745724409 0.6406834756278953 1.0 0.010026756152770757 0.045540529615363805
THC 0.16011807134601128 0.02823141993123995 0.01748959708310044 0.1770410796983827 0.09003819803454402 0.03277292350320777 0.038809075210490304 0.010026756152770757 1.0 0.4479693904053521
THI 0.10559786033066712 0.02406805993767665 -0.1244555413207773 0.09691432960730745 0.10552414546197764 0.02292811292864453 -0.01881860308582211 0.045540529615363805 0.4479693904053521 1.0
