 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.7294970875507996 0.9031846872400783 0.9445629496333197 0.8637655024856364 0.7788729435163808 0.7109208631073105 0.43610125593084964 0.2562687620466149 0.2541095461714046
L23I 0.7294970875507996 1.0 0.5318728093116584 0.6078123601604968 0.9244375271479217 0.913237351744873 0.8018801128654102 0.7216726969610158 0.2874130586058006 0.28439422436574946
L4E 0.9031846872400783 0.5318728093116584 1.0 0.9530258985204334 0.7250948832150178 0.6276008941069454 0.6516723626320576 0.3768411193610342 0.38313873927676695 0.37832177184418736
L4I 0.9445629496333197 0.6078123601604968 0.9530258985204334 1.0 0.7810888955642866 0.6796201950116542 0.6768854335561603 0.44013364456327503 0.42573489996211095 0.4209646185561936
L5E 0.8637655024856364 0.9244375271479217 0.7250948832150178 0.7810888955642866 1.0 0.9333327800720154 0.8566902160491743 0.6724083103667641 0.3287644056958299 0.3270677537858059
L5I 0.7788729435163808 0.913237351744873 0.6276008941069454 0.6796201950116542 0.9333327800720154 1.0 0.8455996883552558 0.6771816464904398 0.2942299326469738 0.2912897282282136
L6E 0.7109208631073105 0.8018801128654102 0.6516723626320576 0.6768854335561603 0.8566902160491743 0.8455996883552558 1.0 0.7000588963093055 0.4647665561477699 0.4614336523328759
L6I 0.43610125593084964 0.7216726969610158 0.3768411193610342 0.44013364456327503 0.6724083103667641 0.6771816464904398 0.7000588963093055 1.0 0.6823613499197054 0.6782461054014872
THC 0.2562687620466149 0.2874130586058006 0.38313873927676695 0.42573489996211095 0.3287644056958299 0.2942299326469738 0.4647665561477699 0.6823613499197054 1.0 0.9707864357015257
THI 0.2541095461714046 0.28439422436574946 0.37832177184418736 0.4209646185561936 0.3270677537858059 0.2912897282282136 0.4614336523328759 0.6782461054014872 0.9707864357015257 1.0
