 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.9871400745955929 0.8329186550521133 0.8288809601757604 0.297846860719414 0.20786735007313237 0.12741315799237385 0.020720273366667874 0.0945965767886098 0.0961146105124535
L23I 0.9871400745955929 1.0 0.781729396740596 0.7772280526863294 0.297690662326082 0.2045614548068185 0.13078365992230778 0.029744400411613813 0.08856868045334468 0.08968359609325015
L4E 0.8329186550521133 0.781729396740596 1.0 0.9941344254762615 0.24589254664150964 0.1945196139360945 0.09042433031332914 -0.03133213127011259 0.12963985227717142 0.1307662730006898
L4I 0.8288809601757604 0.7772280526863294 0.9941344254762615 1.0 0.244312013596827 0.1934736997837639 0.09164384941936794 -0.030130074999907323 0.13161624202985625 0.13270729055416808
L5E 0.297846860719414 0.297690662326082 0.24589254664150964 0.244312013596827 1.0 0.9871454214193451 0.09418894653796972 0.051530438969862015 0.062447558300707896 0.06224115031883574
L5I 0.20786735007313237 0.2045614548068185 0.1945196139360945 0.1934736997837639 0.9871454214193451 1.0 0.08296099819810215 0.047291515369818744 0.0552097672426531 0.05508799054637592
L6E 0.12741315799237385 0.13078365992230778 0.09042433031332914 0.09164384941936794 0.09418894653796972 0.08296099819810215 1.0 0.9816809134967832 -0.003278064223740637 -0.0017131805836899064
L6I 0.020720273366667874 0.029744400411613813 -0.03133213127011259 -0.030130074999907323 0.051530438969862015 0.047291515369818744 0.9816809134967832 1.0 -0.016336104989262513 -0.014985783729513974
THC 0.0945965767886098 0.08856868045334468 0.12963985227717142 0.13161624202985625 0.062447558300707896 0.0552097672426531 -0.003278064223740637 -0.016336104989262513 1.0 0.9915324129707347
THI 0.0961146105124535 0.08968359609325015 0.1307662730006898 0.13270729055416808 0.06224115031883574 0.05508799054637592 -0.0017131805836899064 -0.014985783729513974 0.9915324129707347 1.0
