 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.007321797861425055 0.06906241440985579 0.023526344450475866 -0.002565696017544539 -0.024072600818339306 0.0004032283585018108 -0.004494342464527338 0.00934702460106273 -0.013013555450372175
L23I 0.007321797861425055 1.0 0.1176169370904808 0.20077028662143684 0.07358836343171536 0.03707385013987878 0.020068693538232915 0.01050642752355047 0.010153210976500912 0.006060072515387076
L4E 0.06906241440985579 0.1176169370904808 1.0 0.4288178033036767 0.0316567638426794 0.04225059042438936 0.02038070201272744 -0.03802422245294913 -0.00016019745308329812 -0.04275766279384593
L4I 0.023526344450475866 0.20077028662143684 0.4288178033036767 1.0 0.12200179878334476 0.0832190441534557 0.023199731001961182 -0.037804667762972165 0.08334090827068813 0.03935207336282677
L5E -0.002565696017544539 0.07358836343171536 0.0316567638426794 0.12200179878334476 1.0 0.5708012243622738 0.013003700819922434 0.00752047269280437 0.04966882842124651 0.0540693047843483
L5I -0.024072600818339306 0.03707385013987878 0.04225059042438936 0.0832190441534557 0.5708012243622738 1.0 0.005342523235343581 0.0012984570966241634 0.037446527832246314 0.01290445474199167
L6E 0.0004032283585018108 0.020068693538232915 0.02038070201272744 0.023199731001961182 0.013003700819922434 0.005342523235343581 1.0 0.2852759017711877 0.006081265031629541 0.004293375073046124
L6I -0.004494342464527338 0.01050642752355047 -0.03802422245294913 -0.037804667762972165 0.00752047269280437 0.0012984570966241634 0.2852759017711877 1.0 -0.03873734014066743 -0.0019438890628721375
THC 0.00934702460106273 0.010153210976500912 -0.00016019745308329812 0.08334090827068813 0.04966882842124651 0.037446527832246314 0.006081265031629541 -0.03873734014066743 1.0 0.3930837738378384
THI -0.013013555450372175 0.006060072515387076 -0.04275766279384593 0.03935207336282677 0.0540693047843483 0.01290445474199167 0.004293375073046124 -0.0019438890628721375 0.3930837738378384 1.0
