 L23E L23I L4E L4I L5E L5I L6E L6I THC THI
L23E 1.0 0.7734914219181442 0.3835536123417963 0.42383593814112475 0.2464542742846182 0.11334304882794356 0.19442199732842835 0.0646879985105837 0.14663243040314577 0.11281801546194427
L23I 0.7734914219181442 1.0 0.4882770423162542 0.5111160498800431 0.1682918438202403 0.07338252458735121 0.12533413179771738 0.027721333539151894 0.0226426383827067 0.00824149723602447
L4E 0.3835536123417963 0.4882770423162542 1.0 0.8697157927382724 0.09389122036726127 0.15478453997496228 0.12976553146913294 -0.006260954331203148 0.13373546229390945 0.10771145919017505
L4I 0.42383593814112475 0.5111160498800431 0.8697157927382724 1.0 0.09814036656262061 0.11502106309494088 0.09942947482595066 -0.021763169506595546 0.12312963937729661 0.10596223179435303
L5E 0.2464542742846182 0.1682918438202403 0.09389122036726127 0.09814036656262061 1.0 0.8757501130058056 0.08769916933251436 0.01571791873883011 0.05869991533058381 0.06362867006362771
L5I 0.11334304882794356 0.07338252458735121 0.15478453997496228 0.11502106309494088 0.8757501130058056 1.0 0.0709257497114575 0.0028606880923115426 0.061416757040587154 0.06461227983957982
L6E 0.19442199732842835 0.12533413179771738 0.12976553146913294 0.09942947482595066 0.08769916933251436 0.0709257497114575 1.0 0.7861331838620199 0.1396643138584931 0.10737558661416238
L6I 0.0646879985105837 0.027721333539151894 -0.006260954331203148 -0.021763169506595546 0.01571791873883011 0.0028606880923115426 0.7861331838620199 1.0 0.028437887712869012 0.00861263406184703
THC 0.14663243040314577 0.0226426383827067 0.13373546229390945 0.12312963937729661 0.05869991533058381 0.061416757040587154 0.1396643138584931 0.028437887712869012 1.0 0.8891119451988069
THI 0.11281801546194427 0.00824149723602447 0.10771145919017505 0.10596223179435303 0.06362867006362771 0.06461227983957982 0.10737558661416238 0.00861263406184703 0.8891119451988069 1.0
